gauge_id,geol_porosity,geol_permeability,geol_class_1st,geol_class_1st_frac,geol_class_2nd,geol_class_2nd_frac,carb_rocks_frac
3002,0.040716875,0.725922514,Acid Plutonic Rocks,1.0,,0.0,0.0
3005,0.045582805,0.729256467,Metamorphic Rocks,0.5,Basic Volcanic Rocks,0.166666667,0.0
3008,0.098231527,0.744677505,Basic Volcanic Rocks,0.8125,Mixed Sedimentary Rocks,0.1875,0.0
3009,0.090000004,0.749894209,Basic Volcanic Rocks,1.0,,0.0,0.0
3013,0.128084289,0.724564658,Mixed Sedimentary Rocks,1.0,,0.0,0.0
3014,0.090410983,0.749866916,Basic Volcanic Rocks,1.0,,0.0,0.0
3017,0.015526509,0.723336015,Metamorphic Rocks,0.5,Metamorphic Rocks,0.5,0.0
3018,0.089134996,0.730889696,Siliciclastic Sedimentary Rocks,0.6,Metamorphic Rocks,0.2,0.0
3019,0.089812772,0.749829554,Basic Volcanic Rocks,0.666666667,Metamorphic Rocks,0.333333333,0.0
3020,0.090000004,0.749894209,Basic Volcanic Rocks,1.0,,0.0,0.0
3024,0.017277827,0.72519627,Metamorphic Rocks,1.0,,0.0,0.0
3028,0.099191336,0.748053651,Basic Volcanic Rocks,1.0,,0.0,0.0
3029,0.090000004,0.749894209,Basic Volcanic Rocks,1.0,,0.0,0.0
3030,0.090199027,0.749880992,Basic Volcanic Rocks,1.0,,0.0,0.0
3031,0.085478616,0.730483488,Siliciclastic Sedimentary Rocks,0.5,Siliciclastic Sedimentary Rocks,0.5,0.0
3038,0.090000004,0.749894209,Basic Volcanic Rocks,1.0,,0.0,0.0
3040,0.100046621,0.749108874,Basic Volcanic Rocks,0.5,Basic Volcanic Rocks,0.5,0.0
3043,0.077398655,0.735270684,Basic Volcanic Rocks,0.423076923,Metamorphic Rocks,0.355769231,0.0
3045,0.055111263,0.727287884,Metamorphic Rocks,0.857142857,Unconsolidated Sediments,0.142857143,0.0
3047,0.059087925,0.727720766,Metamorphic Rocks,0.5,Siliciclastic Sedimentary Rocks,0.25,0.0
3048,0.059129598,0.737313059,Metamorphic Rocks,1.0,,0.0,0.0
3055,0.079210438,0.744291113,Basic Volcanic Rocks,0.736842105,Metamorphic Rocks,0.236842105,0.0
3056,0.090000004,0.749894209,Basic Volcanic Rocks,1.0,,0.0,0.0
3057,0.079467795,0.729883567,Metamorphic Rocks,0.5,Siliciclastic Sedimentary Rocks,0.375,0.0
3064,0.095626332,0.748234271,Basic Volcanic Rocks,1.0,,0.0,0.0
3068,0.03262638,0.72501839,Metamorphic Rocks,1.0,,0.0,0.0
3069,0.090000004,0.749894209,Basic Volcanic Rocks,1.0,,0.0,0.0
3071,0.073337589,0.729409181,Metamorphic Rocks,0.615384615,Siliciclastic Sedimentary Rocks,0.230769231,0.0
3072,0.045683363,0.732446331,Metamorphic Rocks,0.583333333,Basic Volcanic Rocks,0.25,0.0
3073,0.076415275,0.736692162,Basic Volcanic Rocks,0.468085106,Metamorphic Rocks,0.329787234,0.0
3074,0.089756101,0.748835025,Basic Volcanic Rocks,1.0,,0.0,0.0
3075,0.076947909,0.735186367,Basic Volcanic Rocks,0.419047619,Metamorphic Rocks,0.361904762,0.0
3076,0.041774809,0.725752581,Metamorphic Rocks,1.0,,0.0,0.0
3079,0.090000004,0.749894209,Basic Volcanic Rocks,1.0,,0.0,0.0
3081,0.046324653,0.73407195,Intermediate Volcanic Rocks,1.0,,0.0,0.0
3082,0.079402944,0.707798736,Unconsolidated Sediments,0.25,Unconsolidated Sediments,0.25,0.0
3083,0.049783258,0.731165359,Basic Volcanic Rocks,1.0,,0.0,0.0
3085,0.090877931,0.749835907,Basic Volcanic Rocks,1.0,,0.0,0.0
3087,0.10132834,0.7441475,Basic Volcanic Rocks,0.8125,Mixed Sedimentary Rocks,0.1875,0.0
3089,0.02525193,0.72583263,Acid Plutonic Rocks,1.0,,0.0,0.0
3091,0.141620233,0.725299558,Mixed Sedimentary Rocks,0.5,Mixed Sedimentary Rocks,0.5,0.0
3092,0.095210124,0.731400325,Unconsolidated Sediments,0.5,Unconsolidated Sediments,0.5,0.0
3094,0.061209202,0.735838826,Basic Volcanic Rocks,0.5,Metamorphic Rocks,0.333333333,0.0
3098,0.028623917,0.723693037,Metamorphic Rocks,1.0,,0.0,0.0
3099,0.144496378,0.7366763,Siliciclastic Sedimentary Rocks,0.5,Siliciclastic Sedimentary Rocks,0.5,0.0
3103,0.076008908,0.734882688,Basic Volcanic Rocks,0.444444444,Metamorphic Rocks,0.25,0.0
3105,0.010783791,0.722838127,Metamorphic Rocks,1.0,,0.0,0.0
3107,0.011112688,0.723140248,Acid Plutonic Rocks,0.5,Metamorphic Rocks,0.25,0.0
3109,0.090000004,0.749894209,Basic Volcanic Rocks,1.0,,0.0,0.0
3110,0.090000004,0.749894209,Basic Volcanic Rocks,1.0,,0.0,0.0
4003,0.090000004,0.749894209,Basic Volcanic Rocks,1.0,,0.0,0.0
4004,0.015892988,0.723402709,Metamorphic Rocks,0.857142857,Acid Plutonic Rocks,0.142857143,0.0
4005,0.01,0.722769797,Metamorphic Rocks,1.0,,0.0,0.0
4006,0.037283423,0.721752342,Metamorphic Rocks,1.0,,0.0,0.0
4007,0.018372011,0.724665265,Metamorphic Rocks,0.75,Acid Plutonic Rocks,0.25,0.0
4012,0.01,0.722769797,Metamorphic Rocks,1.0,,0.0,0.0
4013,0.011096204,0.723058989,Metamorphic Rocks,1.0,,0.0,0.0
4015,0.01,0.722769797,Metamorphic Rocks,1.0,,0.0,0.0
4016,0.01,0.722769797,Metamorphic Rocks,1.0,,0.0,0.0
4017,0.080187686,0.736283572,Basic Volcanic Rocks,0.578947368,Metamorphic Rocks,0.315789474,0.0
4018,0.030587857,0.727237218,Acid Plutonic Rocks,1.0,,0.0,0.0
