gauge_id,q_mean,runoff_ratio,streamflow_elas,slope_fdc,bfi,q_cv,q_10,q_25,q_50,q_75,q_90,q_zero,q_low_days,freq_q_low,q_high_days,freq_q_high,annual_q,mean_anum_flow,cen_time,gini_flow,annual_max_1day,annual_max_3day,annual_max_7day,annual_max_30day,annual_max_90day,annual_min_7day,month_1day_max,month_1day_min,doy_min_flow,doy_max_flow,doy_min_flow_7,doy_max_flow_7,mean_jan_flow,mean_feb_flow,mean_mar_flow,mean_apr_flow,mean_may_flow,mean_jun_flow,mean_jul_flow,mean_aug_flow,mean_sep_flow,mean_oct_flow,mean_nov_flow,mean_dec_flow,cv_jan_flow,cv_feb_flow,cv_mar_flow,cv_apr_flow,cv_may_flow,cv_jun_flow,cv_jul_flow,cv_aug_flow,cv_sep_flow,cv_oct_flow,cv_nov_flow,cv_dec_flow,mean_swmn_flow,mean_atmn_flow,mean_wint_flow,mean_sumr_flow,q_mean_swmn,q_5_swmn,q_25_swmn,q_50_swmn,q_75_swmn,q_95_swmn,rise_rate_mean,rise_rate_median,rise_days,fall_rate_mean,fall_rate_median,fall_days,num_hyd_alt
3002,1.773,0.472,3.744,,0.372,1353.35,0.0,0.0,0.061,0.954,3.247,86.667,37.953,90.667,2.477,17.889,828.584,834.941,140.629,0.815,756.807,485.599,284.301,136.155,90.494,0.0,8,3,32.6,132.143,35.771,137.8,7.44,3.611,2.069,1.71,2.052,37.467,169.316,295.889,205.221,77.925,24.349,7.891,341.26,324.7,413.87,368.5,416.88,497.09,215.3,153.47,793.17,163.04,161.93,175.53,707.894,102.274,18.942,5.831,4.587,0.0,0.26,1.323,3.437,9.681,38.509,3.07,62.0,-15.864,-0.81,150.5,78.611
3005,1.125,0.331,1.925,2.859,0.385,285.54,0.008,0.028,0.094,0.641,3.088,0.0,22.556,96.158,4.207,19.263,21163.952,21043.82,232.543,0.801,14640.524,11975.203,8184.747,3780.572,2305.069,5.293,8,6,152.571,228.171,154.886,234.114,121.249,101.021,68.209,35.327,26.92,590.632,4481.514,8379.004,5255.572,1435.327,374.211,174.833,139.94,129.01,92.88,107.43,111.74,413.16,176.96,108.51,149.59,126.58,97.79,190.15,18706.722,1809.538,397.104,130.456,3.028,0.005,0.198,1.369,3.503,12.083,324.324,5.46,131.75,-186.758,-4.48,228.8,141.0
3008,0.567,0.214,3.018,3.819,0.316,352.48,0.005,0.021,0.057,0.242,1.12,1.05,20.67,90.95,3.534,19.158,9553.098,11301.95,231.629,0.811,7709.94,6310.531,4015.86,1801.491,1046.893,2.182,8,5,142.086,226.971,146.114,233.286,75.749,57.655,45.054,17.714,15.774,633.501,2308.118,4082.321,2882.713,904.206,172.829,106.619,65.07,125.89,96.42,102.05,182.22,450.18,225.3,167.24,173.12,272.83,116.77,121.51,9906.653,1077.035,240.022,79.245,1.503,0.003,0.105,0.41,1.285,6.687,204.38,2.38,125.25,-114.204,-2.26,224.15,143.85
3009,0.239,0.106,3.647,,0.198,709.52,0.0,0.0,0.0,0.031,0.253,,,,,,206.892,198.627,127.514,0.909,,,,,,,,,6.514,127.029,9.829,129.229,0.603,0.637,0.697,0.035,0.032,1.162,11.661,70.33,52.692,55.912,4.092,0.775,196.64,181.9,321.21,639.54,925.76,885.12,709.85,371.85,314.36,447.48,318.07,186.56,135.844,60.004,2.014,0.764,0.474,0.0,0.0,0.007,0.152,2.052,,,,,,,
3013,0.913,0.29,1.594,4.708,0.351,485.64,0.037,0.068,0.154,0.502,1.716,3.05,10.775,95.842,2.664,18.25,1057.319,1162.363,196.8,0.755,1765.156,899.216,474.829,200.324,115.818,0.817,8,6,121.943,188.286,131.829,194.514,11.794,8.643,9.17,7.155,7.17,74.291,247.829,383.656,218.279,146.345,32.05,16.211,82.33,78.43,133.6,131.25,123.32,569.32,259.04,266.01,174.15,603.41,101.25,51.83,924.056,178.395,36.648,24.014,2.178,0.033,0.195,0.695,1.926,8.192,36.101,0.51,124.65,-21.454,-0.63,209.75,164.1
3014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3017,4.177,1.151,4.249,,0.35,1076.76,0.0,0.019,0.133,0.896,3.557,,,,,,613.338,619.5,121.486,0.821,,,,,,,,,50.771,116.657,54.686,119.743,3.033,1.776,0.712,0.847,0.244,25.157,121.986,245.928,150.009,50.122,14.565,5.121,196.19,146.87,135.47,749.05,335.98,691.33,312.04,182.16,467.0,207.45,106.09,58.86,543.079,64.687,9.93,1.803,7.758,0.0,0.188,1.507,3.922,18.211,,,,,,,
3018,1.249,0.312,1.305,2.403,0.439,257.87,0.012,0.033,0.109,1.032,3.569,1.05,23.727,96.158,3.588,18.3,8085.037,8433.271,228.143,0.767,5860.642,4414.595,2665.75,1379.403,893.049,3.075,8,5,133.686,217.686,140.771,226.314,65.335,40.955,32.887,26.516,39.214,368.324,1727.089,3062.468,1998.124,758.21,217.777,96.371,151.84,124.55,173.54,152.46,231.11,391.33,169.81,108.96,105.48,147.26,105.29,132.25,7156.005,975.987,202.662,98.617,3.262,0.012,0.381,1.829,4.08,10.928,170.258,7.035,102.2,-79.737,-2.36,218.25,102.65
3019,0.322,0.142,3.335,,0.223,811.01,0.0,0.0,0.0,0.062,0.541,224.4,71.238,224.4,3.677,19.158,235.75,307.873,194.114,0.908,723.935,334.278,174.09,60.879,29.785,0.0,8,1,7.514,189.657,10.086,192.029,0.377,0.043,0.103,0.013,0.597,7.26,37.652,109.747,89.415,55.096,6.876,0.963,1201.76,358.61,928.91,510.68,2094.24,1022.62,568.73,490.56,310.32,462.95,244.63,340.37,249.682,61.973,1.383,0.712,0.721,0.0,0.0,0.037,0.416,2.394,40.811,1.67,33.75,-15.572,-0.68,88.5,41.25
3020,0.098,0.05,1.793,9.763,0.249,688.9,0.0,0.0,0.0,0.012,0.081,142.1,45.111,177.625,4.306,19.263,1156.597,2310.159,228.457,0.835,1793.958,1281.208,898.143,321.495,155.854,0.489,9,1,93.714,228.514,93.0,234.086,16.577,13.734,10.511,7.03,8.91,88.382,350.939,710.156,735.514,285.538,48.541,34.326,213.6,275.08,314.96,347.72,477.66,460.43,442.39,445.05,263.22,366.99,488.64,229.09,1884.991,334.079,64.638,26.451,0.241,0.0,0.0,0.002,0.055,0.984,73.243,1.265,60.1,-34.493,-0.72,127.65,60.5
