gauge_id,water_frac,trees_frac,flooded_veg_frac,crops_frac,built_area_frac,bare_frac,range_frac,dom_land_cover,dom_land_cover_frac,lai_mean,lai_min,lai_max,lai_diff
3002,0.005099,0.355923,5e-06,0.438064,0.047201,0.000264,0.153445,crops,0.438064,1.185,0.519,7.231,6.712
3005,0.02331,0.286059,0.000715,0.4276,0.032435,0.001793,0.228086,crops,0.4276,1.152,0.258,7.773,7.515
3008,0.020588,0.034625,0.000366,0.675821,0.024607,0.000618,0.243375,crops,0.675821,0.831,0.202,7.525,7.323
3009,0.035274,0.001902,0.0,0.687051,0.027688,5.3e-05,0.248031,crops,0.687051,0.616,0.364,0.909,0.545
3013,0.015842,0.163085,0.001441,0.256321,0.015124,0.001397,0.54679,rangeland,0.54679,1.106,0.311,7.498,7.188
3014,0.026002,0.045021,0.000487,0.677083,0.020766,8e-06,0.230633,crops,0.677083,0.855,0.378,7.525,7.147
3017,0.002625,0.331766,0.0,0.336497,0.009363,1.6e-05,0.319733,crops,0.336497,1.216,0.722,1.949,1.227
3018,0.013459,0.324985,4.7e-05,0.383356,0.033599,0.000279,0.244276,crops,0.383356,1.188,0.222,7.231,7.009
3019,0.019692,0.000793,1.9e-05,0.605158,0.027601,2.6e-05,0.346711,crops,0.605158,0.645,0.388,0.934,0.546
3020,0.0309,0.005236,7e-05,0.776847,0.052175,3.7e-05,0.134736,crops,0.776847,0.679,0.176,7.672,7.495
3024,0.025205,0.102774,0.000313,0.576021,0.037635,0.000526,0.257526,crops,0.576021,0.906,0.556,7.169,6.613
3028,0.023646,0.027963,0.000544,0.727965,0.026931,0.000627,0.192324,crops,0.727965,0.829,0.202,7.525,7.323
3029,0.029443,0.004862,6.5e-05,0.781128,0.050651,6.4e-05,0.133787,crops,0.781128,0.678,0.176,7.672,7.495
3030,0.029047,0.024316,0.000772,0.739474,0.02271,4.5e-05,0.183637,crops,0.739474,0.8,0.32,7.525,7.205
3031,0.021222,0.230734,6.1e-05,0.457503,0.038082,0.000176,0.252222,crops,0.457503,1.058,0.222,2.419,2.197
3038,0.0157,4.5e-05,0.0,0.93722,0.030804,8.4e-05,0.016146,crops,0.93722,0.729,0.411,1.012,0.601
3040,0.020918,0.052795,0.0,0.759897,0.03183,2e-06,0.134557,crops,0.759897,0.856,0.342,7.127,6.785
3043,0.021964,0.194052,0.000297,0.523914,0.030944,0.001511,0.227319,crops,0.523914,1.026,0.124,9.039,8.914
3045,0.024197,0.371955,0.000156,0.149707,0.012769,0.000186,0.44103,rangeland,0.44103,1.436,0.124,7.819,7.695
3047,0.006137,0.211965,2e-06,0.649085,0.05722,0.000225,0.075366,crops,0.649085,1.005,0.404,2.2,1.796
3048,0.016754,0.264941,1.8e-05,0.525488,0.027341,0.000491,0.164967,crops,0.525488,1.113,0.261,7.773,7.512
3055,0.025272,0.020418,0.000148,0.762046,0.041196,0.000154,0.150767,crops,0.762046,0.718,0.176,7.674,7.497
3056,0.016248,0.003186,0.0,0.74208,0.019985,1.4e-05,0.218487,crops,0.74208,0.739,0.36,6.96,6.6
3057,0.012028,0.377793,4.8e-05,0.293967,0.026881,0.000491,0.288792,trees,0.377793,1.302,0.222,7.405,7.183
3064,0.02258,0.039114,0.000484,0.614594,0.03801,0.000373,0.284844,crops,0.614594,0.871,0.202,7.41,7.208
3068,0.034815,0.267508,0.0001,0.25697,0.01628,6.1e-05,0.424266,rangeland,0.424266,1.148,0.222,2.419,2.197
3069,0.026158,0.016871,3e-06,0.571387,0.05834,5e-05,0.327191,crops,0.571387,0.675,0.176,7.268,7.091
3071,0.010549,0.477025,3.8e-05,0.206369,0.018709,0.000778,0.286532,trees,0.477025,1.443,0.222,7.405,7.183
3072,0.024002,0.237176,0.000683,0.485693,0.038079,0.001478,0.212889,crops,0.485693,1.086,0.258,7.773,7.515
3073,0.022343,0.163476,0.000315,0.571853,0.033438,0.001152,0.207422,crops,0.571853,0.964,0.151,9.039,8.888
3074,0.017946,0.022386,0.000155,0.661957,0.021301,5e-05,0.276205,crops,0.661957,0.789,0.307,7.518,7.211
