gauge_id,soil_depth,soil_conductivity_top,soil_conductivity_sub,soil_awc_top,soil_awc_sub,soil_awsc_min,soil_awsc_max,soil_awsc_major,sand_frac_top,sand_frac_sub,silt_frac_top,silt_frac_sub,clay_frac_top,clay_frac_sub,gravel_frac_top,gravel_frac_sub,bulkdens_top_major,bulkdense_top_mean,bulkdens_sub_major,bulkdens_sub_mean,org_carb_top_major,org_carb_top_mean,org_carb_sub_major,org_carb_sub_mean,organic_frac_top,organic_frac_sub,hsg_major,wtd
3002,1.230545152,11.61800458,4.103030655,0.228572654,0.23985179,150,150,150,79,68,11,10,10,22,7,4,1.59,1.59,1.45,1.45,0.53,0.53,0.3,0.3,0.022702837,0.009654721,C/D,-0.895145957
3005,3.750493971,6.795325139,2.955743283,0.19661467,0.195693625,25,150,125,16,15,29,28,55,57,4,5,1.21,1.273247911,1.21,1.218816101,0.75,0.956512535,0.45,0.320389972,0.020041878,0.007881991,D,-0.098990671
3008,2.611732908,8.152887028,3.780944487,0.197109513,0.194444501,25,150,125,16,15,29,28,55,57,4,5,1.21,1.25834891,1.21,1.232137931,0.75,0.874087227,0.45,0.409426791,0.016114092,0.00723606,D,-0.091358628
3009,1.435415868,10.80440007,4.368577098,0.204403291,0.205039382,125,150,125,21,18,28,28,51,54,5,5,1.23,1.220277778,1.22,1.215138889,0.97,0.863055556,0.45,0.45,0.01703139,0.008369872,C,-1.220475747
3013,4.385316456,8.3316246,3.67640341,0.213247774,0.21100175,125,150,150,47,39,29,27,24,34,9,8,1.39,1.377636364,1.33,1.321272727,0.86,0.884727273,0.38,0.398181818,0.021743015,0.008641142,D,-1.363499504
3014,1.955931662,5.83445953,2.754328894,0.195200393,0.187543885,25,125,125,16,15,29,28,55,57,4,5,1.21,1.255780347,1.21,1.212706767,0.75,0.946069364,0.45,0.345953757,0.016045611,0.006413868,D,-0.541485631
3017,1.174319066,11.77083012,3.996230286,0.228418916,0.237775545,150,150,150,79,68,11,10,10,22,7,4,1.59,1.59,1.45,1.45,0.53,0.53,0.3,0.3,0.022231584,0.009198221,C/D,-3.087911394
3018,1.780813927,12.11851305,4.176134565,0.234406933,0.24469977,25,150,150,79,68,11,10,10,22,7,4,1.59,1.557483871,1.45,1.440452962,0.53,0.614193548,0.3,0.275548387,0.025245705,0.010628702,C,-0.358396832
3019,1.334456613,12.48132708,4.86601617,0.206575356,0.21052653,125,150,150,21,18,28,28,51,54,5,5,1.23,1.225223881,1.22,1.21761194,0.97,0.917462687,0.45,0.45,0.017601217,0.008326878,C,-1.365900681
3020,1.804956014,8.527885281,3.66008193,0.21159166,0.215844699,50,150,125,16,15,29,28,55,57,4,5,1.21,1.247988722,1.21,1.243731203,0.75,0.907349624,0.45,0.468552632,0.017827406,0.008599711,D,-0.166479169
