year,month,day,prcp(mm/day),tmax(C),tmin(C),tavg(C),srad_lw(w/m2),srad_sw(w/m2),wind_u(m/s),wind_v(m/s),wind(m/s),rel_hum(%),pet(mm/day),pet_gleam(mm/day),aet_gleam(mm/day),evap_canopy(mm/day),evap_surface(mm/day),sm_lvl1(kg/m2),sm_lvl2(kg/m2),sm_lvl3(kg/m2),sm_lvl4(kg/m2)
1980,1,1,0.0,24.58,13.5,19.04,321.32,245.25,2.05,-0.51,2.11,55.0,,1.64,0.67,0.01,0.75,4.88,73.14,178.21,521.73
1980,1,2,0.0,23.83,8.73,16.28,290.41,249.34,0.32,-1.63,1.66,50.57,,1.71,0.65,0.0,0.77,4.71,72.85,177.97,521.64
1980,1,3,0.0,23.26,8.92,16.09,280.45,250.28,-2.16,-3.07,3.75,40.82,,1.74,0.63,0.0,0.7,4.55,72.6,177.76,521.57
1980,1,4,0.0,21.44,7.74,14.59,278.37,250.91,-2.84,-2.68,3.9,46.45,,1.71,0.67,0.0,0.58,4.42,72.36,177.55,521.5
1980,1,5,0.0,20.88,7.32,14.1,289.02,249.15,-2.02,-2.66,3.34,48.87,,1.79,0.65,0.0,0.63,4.28,72.12,177.35,521.44
1980,1,6,0.0,21.97,7.53,14.75,289.78,250.36,-2.61,-2.54,3.64,39.29,,1.77,0.59,0.0,0.66,4.15,71.87,177.13,521.36
1980,1,7,0.0,22.46,7.68,15.07,297.07,250.1,-1.71,-1.03,2.0,53.31,,1.85,0.6,0.0,0.62,4.02,71.62,176.89,521.27
1980,1,8,0.0,24.23,8.72,16.48,331.71,234.95,0.18,-0.71,0.73,61.55,,1.92,0.6,0.0,0.69,3.88,71.36,176.66,521.2
1980,1,9,0.0,26.22,11.07,18.64,335.77,237.03,0.86,-0.7,1.11,56.43,,1.84,0.57,0.0,0.69,3.75,71.12,176.45,521.14
1980,1,10,0.0,27.64,11.44,19.54,308.83,249.21,0.71,-1.59,1.74,35.08,,1.87,0.56,0.0,0.75,3.62,70.88,176.23,521.05
